"","PARTICIPANTID","variable","value","Type","Instrument","Mode1","Background","Gender","Mode"
"56","UK797077_2","PCH MJ-MN","Major","Arpeg","Piano","MJ-MN","UK","Female","MJ-MN"
"57","UK81875_2","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","UK","Female","MJ-MN"
"58","UK647420_2","PCH MJ-MN","Major","Arpeg","Piano","MJ-MN","UK","Female","MJ-MN"
"59","UK149852_2","PCH MJ-MN","Minor","Arpeg","Piano","MJ-MN","UK","Female","MJ-MN"
"60","UK716863_1","PCH MJ-MN","Major","Arpeg","Piano","MJ-MN","UK","Male","MJ-MN"
"61","UK338720_2","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Female","MJ-MN"
"62","UK477753_2","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Female","MJ-MN"
"63","UK734747_1","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Male","MJ-MN"
"64","UK632976_1","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Male","MJ-MN"
"65","UK559939_1","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Male","MJ-MN"
"66","UK787801_2","PCH MJ-MN","Major","Chord","Setar","MJ-MN","UK","Female","MJ-MN"
"67","UK249638_2","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"68","UK349080_1","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","UK","Male","MJ-MN"
"69","UK774380_2","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"70","UK819618_1","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","UK","Male","MJ-MN"
"71","UK40395_2","PCH MJ-MN","Minor","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"72","UK192527_2","PCH MJ-MN","Major","Arpeg","Setar","MJ-MN","UK","Female","MJ-MN"
"73","UK668521_2","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Female","MJ-MN"
"74","UK581636_2","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Female","MJ-MN"
"75","UK812201_2","PCH MJ-MN","Minor","Chord","Piano","MJ-MN","UK","Female","MJ-MN"
"76","UK553917_1","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Male","MJ-MN"
"77","UK328873_1","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Male","MJ-MN"
"78","UK869688_1","PCH MJ-MN","Major","Chord","Piano","MJ-MN","UK","Male","MJ-MN"
"79","UK31600_2","PCH MJ-MN","Major","Arpeg","Piano","MJ-MN","UK","Female","MJ-MN"
"80","MKATLM2407191050","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"81","MKAJRD2507191630","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"82","MKAAR0108191730","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"83","MKASRD0208191600","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"84","MKAMRJ0308191400","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"85","FKASHR0408191530","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Kalash","Female","MJ-AUG"
"86","MKAFD2707191400","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"87","MKHMHM1308191130","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"88","MKHABD1508191700","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"89","MKHMHD1808191600","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"90","MKHSHD0608191600","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"91","MKAHRV0308190930","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"92","MKASH2407191700","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"93","MKAHJZ3107191030","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"94","MKHTNV2008191100","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"95","MKHSFL1008191600","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"96","MKAIKB0208190900","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"97","MKHAHT0908191130","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","Khow","Male","MJ-AUG"
"98","MKHKMT1708191330","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","Khow","Male","MJ-AUG"
"99","MKHMSF1808191730","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","Khow","Male","MJ-AUG"
"100","MKATRQ0108191500","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"101","MKARD2607191000","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"102","MKAZRMT3107191600","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"103","MKHIHS0908191430","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Khow","Male","MJ-AUG"
"104","FKAGL0308191700","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Female","MJ-AUG"
"105","MKAZUD0208191230","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"106","MKHHSN0808191330","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","Khow","Male","MJ-AUG"
"107","MKHISL0808191645","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","Khow","Male","MJ-AUG"
"108","MKANS2607191200","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","Kalash","Male","MJ-AUG"
"109","MKAAKH2707191615","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"110","MKASZD3007190930","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"111","MKHISQ0708191130","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"112","MKHZHR1008191230","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"113","MKHWL1108191030","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"114","MKHMHD0808191100","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"115","MKARMD0408190945","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Kalash","Male","MJ-AUG"
"116","MKHNZR1908191345","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"117","MKHISF1408191130","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"118","MKHRFQ1308191515","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","Khow","Male","MJ-AUG"
"119","UK629335_1","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Male","MJ-AUG"
"120","UK337940_2","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Female","MJ-AUG"
"121","UK395228_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"122","UK523822_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"123","UK123046_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"124","UK499949_1","PCH MJ-AUG","Augm.","Chord","Piano","MJ-AUG","UK","Male","MJ-AUG"
"125","UK464301_1","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Male","MJ-AUG"
"126","UK361432_2","PCH MJ-AUG","Major","Chord","Piano","MJ-AUG","UK","Female","MJ-AUG"
"127","UK440729_2","PCH MJ-AUG","Augm.","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"128","UK386152_1","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Male","MJ-AUG"
"129","UK468521_2","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"130","UK490419_1","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Male","MJ-AUG"
"131","UK207435_2","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Female","MJ-AUG"
"132","UK130640_1","PCH MJ-AUG","Major","Arpeg","Piano","MJ-AUG","UK","Male","MJ-AUG"
"133","UK328998_2","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","UK","Female","MJ-AUG"
"134","UK822095_1","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","UK","Male","MJ-AUG"
"135","UK797077_2","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","UK","Female","MJ-AUG"
"136","UK81875_2","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","UK","Female","MJ-AUG"
"137","UK647420_2","PCH MJ-AUG","Augm.","Chord","Setar","MJ-AUG","UK","Female","MJ-AUG"
"138","UK149852_2","PCH MJ-AUG","Major","Chord","Setar","MJ-AUG","UK","Female","MJ-AUG"
"139","UK716863_1","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Male","MJ-AUG"
"140","UK338720_2","PCH MJ-AUG","Augm.","Arpeg","Setar","MJ-AUG","UK","Female","MJ-AUG"
"141","UK477753_2","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Female","MJ-AUG"
"142","UK734747_1","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Male","MJ-AUG"
"143","UK632976_1","PCH MJ-AUG","Major","Arpeg","Setar","MJ-AUG","UK","Male","MJ-AUG"
